"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Final_Mediation_Resolution_Share","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Year","Mediation_Resolution_Share","Mediation_Resolved_Per_100_Cases","Mediation_Attempts_Per_100_Cases","Failed_Attempts_To_Trial_Per_100_Cases","Direct_To_Trial_Per_100_Cases","Trial_Resolved_Per_100_Cases","Mean_NPV_Savings_Per_100_Cases_USD","LB95_NPV_Savings_Per_100_Cases_USD","UB95_NPV_Savings_Per_100_Cases_USD","Mean_Months_Saved_Per_100_Cases","LB95_Months_Saved_Per_100_Cases","UB95_Months_Saved_Per_100_Cases","Mean_NPV_Savings_2000_Cases_USD","LB95_NPV_Savings_2000_Cases_USD","UB95_NPV_Savings_2000_Cases_USD","Mean_Years_Saved_2000_Cases","LB95_Years_Saved_2000_Cases","UB95_Years_Saved_2000_Cases"
"Conditional-success sensitivity","RUN_021","Low-income","annual_independent",0.95,0.05,0.35,1,1,9,0.325048191051823,33,34.7368421052632,1.73684210526316,65.2631578947368,67,93589.5694371702,25605.2764366353,175964.563857304,1168.97165414076,513.033857313752,1941.75031245643,1871791.3887434,512105.528732706,3519291.27714608,1948.2860902346,855.056428856254,3236.25052076071
"Conditional-success sensitivity","RUN_021","Low-income","annual_independent",0.95,0.05,0.35,1,1,10,0.33577223804673,34,35.7894736842105,1.78947368421053,64.2105263157895,66,91616.3814901314,25390.0736663117,172439.777096557,1205.55951223071,523.742404840543,1994.74190398836,1832327.62980263,507801.473326234,3448795.54193114,2009.26585371785,872.904008067571,3324.56983998059
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,1,0.160791725977255,16,17.7777777777778,1.77777777777778,82.2222222222222,84,249469.243562994,60560.4326931728,487700.434932049,262.150046199605,82.1205165942823,462.878512827017,4989384.87125988,1211208.65386346,9754008.69864098,436.916743666009,136.867527657137,771.464188045029
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,2,0.17845552390654,18,20,2,80,82,267288.475246065,64886.1778855423,522536.180284338,294.918801974556,92.3855811685676,520.738326930394,5345769.5049213,1297723.55771085,10450723.6056868,491.53133662426,153.975968614279,867.897211550657
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,3,0.221521753213271,22,24.4444444444444,2.44444444444444,75.5555555555556,78,311129.442085365,75528.8843112133,608243.172817748,360.456313524459,112.915710317138,636.457955137149,6222588.84170731,1510577.68622427,12164863.456355,600.760522540764,188.192850528564,1060.76325856191
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,4,0.311364852821997,31,34.4444444444444,3.44444444444444,65.5555555555556,69,417533.017517158,101359.108815914,816257.071746762,507.915714511734,159.108500901422,896.827118602346,8350660.35034315,2027182.17631828,16325141.4349352,846.52619085289,265.180834835703,1494.71186433724
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,5,0.45,45,50,5,50,55,577234.586429251,140127.800206333,1128465.99780658,737.297004936391,230.963952921419,1301.84581732599,11544691.728585,2802556.00412665,22569319.9561317,1228.82834156065,384.939921535698,2169.74302887664
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,6,0.588635147178003,59,65.5555555555556,6.55555555555556,34.4444444444444,41,720779.695223826,174974.396024838,1409089.81736695,966.678295361046,302.819404941416,1706.86451604963,14415593.9044765,3499487.92049677,28181796.347339,1611.13049226841,504.699008235693,2844.77419341604
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,7,0.678478246786729,68,75.5555555555556,7.55555555555556,24.4444444444444,32,791170.609769492,192062.291036142,1546700.68734387,1114.13769634833,349.0121955257,1967.23367951482,15823412.1953898,3841245.82072285,30934013.7468773,1856.89616058054,581.686992542833,3278.72279919137
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,8,0.72154447609346,72,80,8,20,28,797819.102288563,193676.259868379,1559698.17211146,1179.67520789822,369.54232467427,2082.95330772158,15956382.0457713,3873525.19736758,31193963.4422293,1966.12534649704,615.903874457117,3471.58884620263
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,9,0.739208274022745,74,82.2222222222222,8.22222222222221,17.7777777777778,26,780934.041922671,189577.291405556,1526688.68698741,1212.44396367318,379.807389248556,2140.81312182495,15618680.8384534,3791545.82811112,30533773.7397482,2020.7399394553,633.012315414259,3568.02186970826
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.75,1,1,10,0.745984289445429,75,83.3333333333333,8.33333333333333,16.6666666666667,25,753797.337763195,182989.663518876,1473637.72875233,1228.82834156065,384.939921535698,2169.74302887664,15075946.7552639,3659793.27037753,29472754.5750465,2048.04723593442,641.56653589283,3616.23838146107
